关键词,7天展示量,流量占比,流量分布(自然),流量分布(广告),展示位置,自然排名,自然排名(页码-页内排名),抓取时间,sp广告排名,sp广告排名(页码-页内排名),抓取时间,关键词排名,周搜索量,Top3 点击份额,Top3 购买份额
nugget ice maker,33357,28.44%,51%,49%,"自然,SP,SOR,HR",12,P1-12,美03月30日 20:02,4,P1-4,美03月29日 19:02,3686,33983,38.96%,50.51%
ice makers countertop,18295,15.60%,0%,100%,"自然,SP,HR",44,P3-12,美03月25日 12:00,3,P1-3,美03月30日 20:00,1222,97791,27.00%,31.86%
nugget ice maker countertop,7762,6.62%,63%,37%,"自然,SP,AC,OOR,SOR,HR",11,P1-11,美03月30日 19:12,1,P1-1,美03月30日 19:12,18422,9361,40.74%,42.74%
countertop ice maker,5319,4.53%,33%,67%,"自然,SP,HR",18,P2-2,美03月30日 20:05,3,P1-3,美03月30日 20:05,7300,18909,33.14%,36.62%
ice maker,5244,4.47%,25%,75%,"自然,SP,HR",44,P3-12,美03月30日 20:01,2,P1-2,美03月14日 18:00,399,139288,30.65%,31.77%
ice maker nugget,4691,4.00%,66%,34%,"自然,SP,AC,HR",13,P1-13,美03月30日 19:27,1,P1-1,美03月30日 19:27,38981,5554,41.95%,42.10%
ice makers countertop nugget ice cubes,4544,3.87%,93%,7%,"自然,SP,HR",6,P1-6,美03月30日 19:19,17,P3-5,美03月29日 22:19,27853,7030,27.64%,20.00%
pebble ice maker,3052,2.60%,98%,2%,"自然,SP,HR",14,P1-14,美03月30日 19:16,11,P2-5,美03月29日 20:16,24058,7775,47.94%,60.87%
nugget ice makers countertop,1497,1.28%,78%,22%,"自然,SP,HR",5,P1-5,美03月30日 06:59,10,P2-4,美03月28日 07:14,100299,1936,44.74%,30.00%
chewable ice maker machine,1063,0.91%,100%,0%,"自然,SP",19,P2-3,美03月30日 19:43,17,P3-5,美03月07日 17:32,91863,2322,51.37%,0.00%
ice makers,996,0.85%,94%,6%,"自然,SP,HR",19,P2-3,美03月30日 19:11,2,P1-2,美03月30日 15:12,16331,10198,32.81%,34.48%
countertop nugget ice maker,950,0.81%,96%,4%,"自然,SP,AC,HR",7,P1-7,美03月30日 11:01,11,P2-5,美03月26日 11:01,190678,988,58.05%,75.00%
countertop ice maker nugget ice,921,0.79%,100%,0%,自然,9,P1-9,美03月30日 08:07,-,-,-,123496,1554,48.28%,46.67%
ice makers countertop crushed sonic ice,873,0.74%,36%,64%,"自然,SP,HR",23,P2-7,美03月30日 19:36,1,P1-1,美03月30日 19:36,59286,3966,30.02%,21.75%
newair nugget ice maker,864,0.74%,52%,48%,"自然,SP,HR",11,P1-11,美03月30日 12:07,3,P1-3,美03月26日 12:09,226493,826,75.54%,80.00%
ge profile opal 2.0 nugget ice maker,858,0.73%,30%,70%,"自然,SP,HR",23,P2-7,美03月30日 19:44,10,P2-4,美03月30日 19:44,95272,2176,66.29%,69.23%
crushed ice maker,823,0.70%,88%,12%,"自然,SP,AC,HR",24,P2-8,美03月30日 19:14,2,P1-2,美03月28日 22:15,21191,8487,38.49%,32.79%
ge opal 2.0 nugget ice maker,816,0.70%,34%,66%,"自然,SP,HR",20,P2-4,美03月30日 07:20,6,P1-6,美03月26日 07:20,107380,1801,75.81%,75.00%
sonic ice maker,742,0.63%,100%,0%,"自然,SP,AC,HR",18,P2-2,美03月30日 19:37,18,P3-6,美03月28日 22:36,61059,3858,39.08%,0.00%
compact nugget ice maker,716,0.61%,73%,27%,"自然,SP,HR",9,P1-9,美03月30日 11:17,6,P1-6,美03月26日 11:17,198215,949,53.03%,100.00%
nugget ice machine,686,0.58%,100%,0%,自然,15,P1-15,美03月30日 07:02,-,-,-,101558,1910,42.19%,55.55%
crushed ice makers countertop,656,0.56%,84%,16%,"自然,SP,AC,HR",30,P2-14,美03月30日 19:41,12,P2-6,美03月30日 18:41,82141,2757,33.26%,23.07%
opal ice maker,653,0.56%,70%,30%,"自然,SP,HR",21,P2-5,美03月30日 19:38,1,P1-1,美03月28日 22:38,69556,3380,58.00%,68.18%
nugget ice,572,0.49%,100%,0%,"自然,HR",8,P1-8,美03月30日 11:38,-,-,-,209912,894,65.19%,80.00%
gevi nugget ice maker,506,0.43%,82%,18%,"自然,SP,HR",8,P1-8,美03月30日 13:32,4,P1-4,美03月26日 13:32,289915,640,81.28%,99.99%
pellet ice maker sonic ice,495,0.42%,100%,0%,自然,8,P1-8,美03月30日 12:22,-,-,-,237175,788,48.28%,60.00%
ice machine nugget ice maker,462,0.39%,81%,19%,"自然,SP,HR",8,P1-8,美03月30日 13:38,2,P1-2,美03月28日 15:18,294891,629,59.81%,100.00%
nugget+ice+maker,445,0.38%,60%,40%,"自然,SP,AC,HR",9,P1-9,美03月29日 23:57,2,P1-2,美03月29日 23:57,763188,234,65.86%,0.00%
thereye nugget ice maker countertop,435,0.37%,40%,60%,"自然,SP,HR",11,P1-11,美03月30日 15:46,2,P1-2,美03月29日 19:26,395701,464,99.03%,100.00%
ge ice maker countertop nugget,426,0.36%,100%,0%,"自然,SP",15,P1-15,美03月30日 08:07,2,P1-2,美03月05日 07:08,123741,1551,69.49%,66.67%
sonic ice maker machine for countertop,426,0.36%,98%,2%,"自然,SP,HR",31,P2-15,美03月30日 19:39,17,P3-5,美03月29日 23:39,72620,3221,36.60%,25.00%
ice nugget makers countertop,403,0.34%,100%,0%,自然,14,P1-14,美03月30日 12:42,-,-,-,252143,739,45.65%,83.34%
opal nugget ice maker,382,0.33%,29%,71%,"自然,SP,HR",20,P2-4,美03月30日 15:05,4,P1-4,美03月26日 15:05,363460,507,78.75%,50.00%
ice makers countertop nugget,378,0.32%,99%,1%,"自然,SP",22,P2-6,美03月30日 12:52,17,P3-5,美03月29日 15:41,259140,719,59.35%,0.00%
